Country,RAM Capacity (Mb),Storage (Mb),Mass (grams),Pixel Density (per inch)
0,0.031220435,0.000523305,0.015086207,0.17617365
0,0.031220435,0.000523305,0.014224138,0.244068652
0,0.062471389,0.001047635,0.0625,0.222110045
0,0.062471389,0.002096294,0.028017241,0.17617365
0,0.031220435,0.001047635,0.023706897,0.244068652
0,0.062471389,0.002096294,0.028017241,0.17617365
1,0.062471389,0.001047635,0.044181034,0.390711762
0,0.031220435,0.001047635,0.016163793,0.244068652
0,0.009735405,0.000523305,0.015301724,0.345784957
0,0.062471389,0.004193611,0.025862069,0.17617365
0,0.015594958,0.000523305,0.025862069,0.354114084
0,0.031220435,0.001047635,0.026293103,0.17617365
0,0.031220435,0.001047635,0.028448276,0.17617365
0,0.031220435,0.001047635,0.023491379,0.17617365
0,0.031220435,0.001047635,0.023706897,0.244068652
3,0.031220435,0.001047635,0.288793103,0.096668349
0,0.015594958,0.000523305,0.015732759,0.250630994
0,0.031220435,0.001047635,0.020474138,0.245078243
0,0.031220435,0.008388246,0.023706897,0.17617365
0,0.062471389,0.002096294,0.028017241,0.17617365
3,0.031220435,0.001047635,0.093318966,0.17617365
1,0.023407697,0.000523305,0.015732759,0.535840485
0,0.015594958,0.000261141,0.028663793,0.273094397
0,0.062471389,0.002096294,0.028017241,0.17617365
0,0.015594958,0.001047635,0.011853448,0.24432105
3,0.031220435,0.004193611,0.092672414,0.17617365
0,0.031220435,0.001047635,0.020474138,0.245078243
0,0.062471389,0.001047635,0.032758621,0.17617365
0,0.031220435,0.002096294,0.023706897,0.244068652
0,0.031220435,0.002096294,0.027155172,0.176426047
0,0.00778222,0.00078547,0.019396552,0.250378597
0,0.031220435,0.001047635,0.029956897,0.17617365
3,0.062471389,0.002096294,0.176724138,0.17617365
3,0.062471389,0.002096294,0.176724138,0.17617365
0,0.031220435,0.001047635,0.020474138,0.245078243
0,0.062471389,0.001047635,0.032758621,0.17617365
0,0.031220435,0.000523305,0.024224138,0.17617365
0,0.031220435,0.000523305,0.02262931,0.17617365
3,0.031220435,0.004193611,0.092672414,0.17617365
0,0.015594958,0.001047635,0.009051724,0.204694599
0,0.031220435,0.001047635,0.022844828,0.17617365
0,0.023407697,0.001047635,0.014439655,0.295053004
0,0.031220435,0.001047635,0.01012931,0.350832913
0,0.062471389,0.002096294,0.028017241,0.17617365
0,0.031220435,0.001047635,0.020474138,0.245078243
0,0.015594958,0.001047635,0.008189655,0.210499748
0,0.031220435,0.002096294,0.026508621,0.244068652
0,0.062471389,0.001047635,0.032758621,0.176678445
0,0.031220435,0.001047635,0.01012931,0.337708228
0,0.031220435,0.000523305,0.022844828,0.17617365
0,0.031220435,0.001047635,0.02262931,0.170620899
0,0.062471389,0.001047635,0.020474138,0.245078243
3,0.031220435,0.001047635,0.077586207,0.17617365
0,0.062471389,0.001047635,0.066810345,0.17617365
0,0.031220435,0.001047635,0.066810345,0.17617365
